High,Open,Low,Close,Weighted_Price,Volume_BTC,Volume_Currency
9833.61,9833.61,9828.59,9830.75,9828.664931,1.8262519,17949.618
9844.68,9833.6,9830.72,9844.5,9841.14405,0.79638974,7837.386151
9839.92,9830.75,9828.64,9839.92,9834.186585,0.21765016,2140.412284
9832.99,9828.405,9825.12,9830.76,9828.760175,0.149026485,1465.117961
9826.06,9826.06,9821.6,9821.6,9823.333764,0.08040281,789.8236382
9826.04,9826.04,9826.04,9826.04,9826.04,2.64030759,25943.76799
9843.45,9824.08,9823.85,9843.45,9835.944185,1.87239017,18416.7252
9842.67,9841.17,9841.17,9842.67,9841.199403,1.01999396,10037.96395
9842.68,9829.72,9829.72,9829.72,9833.931165,0.16254153,1598.422218
9839.99,9827.63,9827.63,9839.99,9830.298626,0.06422702,631.3707865
9840,9840,9836.25,9836.25,9838.151445,0.70485676,6934.487552
9840,9840,9840,9840,9840,0.01786565,175.797996
9840,9840,9831.01,9831.01,9837.712757,0.00928179,91.3115839
9840,9840,9831.28,9836.32,9836.251775,0.50155597,4933.4308
9841.36,9836.32,9834.85,9834.85,9836.063076,0.67894636,6678.159222
9829.35,9829.35,9829.35,9829.35,9829.35,0.00232722,22.87505991
9830.35,9820.22,9820.22,9830.35,9822.899693,0.09131331,896.9614847
9831.6,9826.535,9826.535,9831.6,9827.874846,0.08135956,799.5420518
9832.85,9832.85,9832.85,9832.85,9832.85,0.07140581,702.1226189
9832.85,9832.85,9832.85,9832.85,9832.85,0.11443419,1125.214225
9834.94,9834.94,9832.85,9832.85,9834.934732,0.00647443,63.67559648
9832.85,9832.85,9823.93,9823.93,9826.903475,0.02077494,204.1533301
9821.85,9821.85,9810.57,9810.57,9810.735583,0.77232915,7577.117074
9817.93,9817.93,9810.57,9810.57,9810.738354,2.29987672,22563.48875
9813.37,9813.37,9807.57,9813.37,9808.81176,6.79668389,66667.39287
9826.83,9813.37,9806.09,9826.8,9810.667444,0.66545026,6528.511202
9816.46,9816.46,9808.09,9808.09,9808.976936,0.26173243,2567.327369
9809.33,9809.32,9809.32,9809.33,9809.326903,1.05122311,10311.79113
9810.43,9810.43,9810.43,9810.43,9810.43,0.00704367,69.10143148
9811.44,9809.32,9809.32,9811.44,9809.654934,0.10984847,1077.575586
9808.35,9808.35,9808.35,9808.35,9808.35,0.10621958,1041.838818
9808.35,9808.35,9808.35,9808.35,9808.35,0.00929786,91.19666513
9807.31,9807.31,9792.79,9807.3,9798.074508,0.39110201,3832.046634
9806.24,9806.24,9780.57,9780.57,9786.00487,0.40239566,3937.845888
9791.43,9791.3,9784.13,9784.13,9790.120161,0.07050824,690.284142
9791.43,9784.13,9784.13,9791.43,9791.14887,0.14490831,1418.818836
9788.08,9783.58,9783.58,9788.08,9786.732474,0.02491502,243.8366353
9800.81,9796.63,9790.16,9800.81,9798.239705,2.10725608,20647.40019
9809.3,9805.8,9805.8,9809.3,9807.544559,0.02284674,224.0704206
9807.78,9807.78,9794.87,9800.29,9795.374347,1.50121493,14704.96222
9801.42,9799.28,9799.28,9801.42,9799.873905,0.50331642,4932.43745
9808.03,9803.29,9795.58,9806.79,9807.59182,2.64129775,25904.77021
9808.08,9805.36,9805.35,9808.08,9806.115074,0.14432771,1415.294133
9808.08,9808.08,9808.08,9808.08,9808.08,0.0114314,112.1200857
9810.29,9808.08,9800.13,9801.42,9808.690459,0.03835646,376.2266432
9811.43,9811.43,9800.79,9811.43,9808.359649,0.02015533,197.6907255
9811.43,9811.43,9800.79,9811.43,9811.375525,1.03641762,10168.68247
9811.43,9811.43,9806.11,9811.43,9811.402762,0.567667285,5569.5996
9811.43,9811.43,9811.43,9811.43,9811.43,0.09891695,970.5167307
9811.3,9800.85,9800.83,9800.83,9800.902709,5.00119608,49016.23621
9807.38,9807.38,9807.38,9807.38,9807.38,0.01805899,177.1113774
9807.38,9807.38,9807.38,9807.38,9807.38,0.0343904,337.2797212
9807.38,9807.38,9807.38,9807.38,9807.38,0.00721608,70.77083867
9807.38,9800.07,9800.07,9800.07,9801.150219,1.19492458,11711.63531
9805.3,9805.29,9805.29,9805.3,9805.299225,0.02688297,263.5955649
9802.29,9802.29,9802.29,9802.29,9802.29,0.0276958,271.4822634
9826.25,9802.29,9802.29,9824.55,9821.448989,85.08791893,835686.6553
9826.12,9826.12,9814.16,9821.68,9814.833917,2.67439618,26248.75434
9823.83,9821.68,9815.57,9823.39,9822.573812,0.105539,1036.664618
9823.39,9823.39,9823.39,9823.39,9823.39,0.01940955,190.6675794
9825.83,9825.83,9821.91,9821.91,9823.055166,0.02372907,233.0919636
9817.98,9817.98,9813.57,9815.91,9814.547663,0.05739624,563.3181332
